"","lon_grid","lat_grid","ano","mes","xco2_mean","uncertanty_mean","xco2_sd","nobs","xco2_se"
"241",-53,-20.75,2015,2,395.59326171875,0.608847320079803,NA,1,NA
"242",-53,-20.5,2015,2,396.800323486328,0.4582122306029,0,15,0
"243",-53,-20.5,2016,2,398.583312988281,0.568167388439178,NA,1,NA
"244",-53,-20.25,2016,2,398.779663085938,0.553041264414787,0,4,0
"245",-53,-13.5,2015,2,396.554809570312,0.54506794611613,0,3,0
"246",-53,-13.25,2015,2,396.296020507812,0.55082768201828,0,4,0
"247",-53,-12.5,2016,2,397.9794921875,0.484996948639552,0,15,0
"248",-53,-12.25,2016,2,398.583892822266,0.47819496691227,0,2,0
"249",-53,-12,2016,2,398.355560302734,0.524569869041443,NA,1,NA
"250",-52.75,-33.25,2015,2,396.055633544922,0.315473191440105,0,4,0
"251",-52.75,-33,2016,2,401.931030273438,0.335250109434128,0,3,0
"252",-52.75,-29,2015,2,395.184112548828,0.502631843090057,NA,1,NA
"253",-52.75,-28.75,2015,2,394.757080078125,0.474627554416656,0,2,0
"254",-52.75,-22.25,2015,2,401.028198242188,0.432826265692711,0,4,0
"255",-52.75,-22,2015,2,401.170166015625,0.39988400042057,0,6,0
"256",-52.75,-21.25,2016,2,398.450500488281,0.505022212862968,0,2,0
"257",-52.75,-21,2016,2,398.751586914062,0.643836836020152,0,3,0
"258",-52.75,-20.75,2016,2,399.077301025391,0.523684582539967,0,7,0
"259",-52.75,-20.5,2016,2,399.022735595703,0.56334000825882,NA,1,NA
"260",-52.75,-20.25,2016,2,398.789489746094,0.545779824256897,NA,1,NA
"261",-52.75,-14.25,2015,2,402.093627929688,0.43482007086277,0,2,0
"262",-52.75,-13.75,2015,2,401.009460449219,0.507060264547666,0,18,0
"263",-52.75,-6.25,2016,2,399.023590087891,0.398017299175262,0,5,0
"264",-52.75,-0.5,2016,2,398.971435546875,0.395211011171341,0,2,0
"265",-52.75,0,2015,2,396.064575195312,0.440074425477248,0,13,0
"266",-52.75,0.25,2015,2,396.511047363281,0.427461305686406,0,35,0
"267",-52.5,-23.5,2015,2,395.615997314453,0.456200927495956,NA,1,NA
"268",-52.5,-22.75,2015,2,396.170043945312,0.382168471813202,NA,1,NA
"269",-52.5,-22.5,2015,2,397.063659667969,0.382248476147652,0,2,0
"270",-52.5,-22.25,2015,2,395.023040771484,0.42999604344368,NA,1,NA
"271",-52.5,-22,2016,2,397.827972412109,0.728038430213928,NA,1,NA
"272",-52.5,-21,2016,2,397.3125,0.475920975208282,NA,1,NA
"273",-52.5,-15.5,2015,2,396.973114013672,0.510444978872935,0,9,0
"274",-52.5,-15.25,2015,2,395.661529541016,0.450978970057086,0,38,0
"275",-52.5,-15,2015,2,395.120941162109,0.403645254489852,0,41,0
"276",-52.5,-14.75,2015,2,396.163818359375,0.437540753891594,0,19,0
"277",-52.5,-1.5,2015,2,395.210845947266,0.456125852308775,0,19,0
"278",-52.5,-1.25,2015,2,395.163940429688,0.426371589303017,0,4,0
"279",-52.5,-0.75,2016,2,398.664154052734,0.397907078266144,NA,1,NA
"280",-52.25,-23.75,2015,2,395.365966796875,0.418050244450569,0,2,0
"281",-52.25,-23.5,2015,2,395.769653320312,0.4273633147989,0,7,0
"282",-52.25,-16.75,2015,2,397.774688720703,0.481275539506565,0,11,0
"283",-52.25,-16.5,2015,2,397.853729248047,0.684260010719299,NA,1,NA
"284",-52.25,-16,2015,2,397.686828613281,0.49994258582592,0,14,0
"285",-52.25,-15.75,2015,2,397.884490966797,0.441367626190186,NA,1,NA
"286",-52.25,-15.75,2016,2,399.092864990234,0.445473298430443,0,2,0
"287",-52.25,-15.25,2016,2,398.115417480469,0.488137871026993,NA,1,NA
"288",-52.25,-2.5,2015,2,394.301910400391,0.379577495157719,0,4,0
"289",-52.25,-2.25,2015,2,394.992736816406,0.441163872296994,0,13,0
"290",-52.25,-2,2015,2,395.950927734375,0.506746927897135,0,6,0
"291",-52.25,-1.75,2015,2,395.805847167969,0.478531098365784,0,5,0
"292",-52.25,-1.5,2015,2,396.440521240234,0.507686126232147,0,5,0
"293",-52,-32,2015,2,394.307403564453,0.386780869502288,0,13,0
"294",-52,-25.75,2015,2,397.596008300781,0.414816081523895,NA,1,NA
"295",-52,-25.5,2015,2,396.061492919922,0.418132479985555,0,15,0
"296",-52,-25.25,2015,2,397.140930175781,0.417654924094677,0,8,0
"297",-52,-24.5,2015,2,396.173522949219,0.425030261278152,0,3,0
"298",-52,-17,2015,2,394.469604492188,0.621647298336029,0,2,0
"299",-52,-11,2015,2,397.830078125,0.521362781524658,NA,1,NA
"300",-52,-3.5,2016,2,399.562316894531,0.345452487468719,NA,1,NA
"301",-52,-3.25,2015,2,395.501708984375,0.433280616998672,NA,1,NA
"302",-52,-3.25,2016,2,399.487060546875,0.3527805407842,0,3,0
"303",-52,-3,2015,2,394.753936767578,0.434102445840836,NA,1,NA
"304",-52,-2.75,2015,2,395.409484863281,0.422637544572353,0,8,0
"305",-51.75,-25.75,2015,2,395.716491699219,0.406722150065682,0,11,0
"306",-51.75,-25.5,2015,2,395.231140136719,0.411260942618052,0,6,0
"307",-51.75,-18.5,2015,2,395.117340087891,0.477565437555313,0,3,0
"308",-51.75,-18.25,2015,2,394.488220214844,0.454377402861913,0,15,0
"309",-51.75,-18,2015,2,395.293121337891,0.453050285577774,NA,1,NA
"310",-51.75,-11.5,2015,2,395.926025390625,0.608483076095581,0,2,0
"311",-51.75,-4.75,2015,2,395.928405761719,0.413549029827118,0,10,0
"312",-51.75,-4.5,2015,2,394.365325927734,0.415953724334637,0,24,0
"313",-51.75,-4,2015,2,395.62353515625,0.409735743204753,0,15,0
"314",-51.5,-27.75,2015,2,395.330718994141,0.413665944337845,0,10,0
"315",-51.5,-27.5,2015,2,395.526519775391,0.401094383663601,0,36,0
"316",-51.5,-27.25,2015,2,395.421234130859,0.418298764526844,0,20,0
"317",-51.5,-27,2015,2,395.761505126953,0.433861945356642,0,7,0
"318",-51.5,-26.75,2015,2,394.027923583984,0.439179584383965,0,2,0
"319",-51.5,-20,2015,2,396.515258789062,0.625930607318878,NA,1,NA
"320",-51.5,-19.75,2015,2,397.022857666016,0.657468497753143,NA,1,NA
"321",-51.25,-28.5,2015,2,395.002593994141,0.427711218595505,NA,1,NA
"322",-51.25,-28.25,2015,2,395.704040527344,0.403439583256841,0,16,0
"323",-51.25,-28,2015,2,396.302612304688,0.396760252214247,0,31,0
"324",-51.25,-27.75,2015,2,394.782196044922,0.412192536724938,0,18,0
"325",-51.25,-27.5,2015,2,395.200988769531,0.416716977953911,0,2,0
"326",-51.25,-12.75,2016,2,399.122100830078,0.536876584092776,0,6,0
"327",-51.25,-12.5,2016,2,399.86767578125,0.554375648498535,NA,1,NA
"328",-51,-29.75,2016,2,401.874053955078,0.506342172622681,NA,1,NA
"329",-51,-29.5,2016,2,402.696899414062,0.491503513776339,0,13,0
"330",-51,-29.25,2016,2,403.287536621094,0.520463854074478,0,8,0
"331",-51,-14.75,2015,2,394.391571044922,0.491070169955492,0,8,0
"332",-51,-13,2016,2,402.191467285156,0.63289812207222,0,2,0
"333",-51,-12.75,2016,2,403.682098388672,0.522696733474731,0,2,0
"334",-50.75,-31,2015,2,395.149475097656,0.455787012974421,0,6,0
"335",-50.75,-30.25,2015,2,394.829193115234,0.395180782303214,0,16,0
"336",-50.75,-30.25,2016,2,400.547546386719,0.409185688132825,0,23,0
"337",-50.75,-30,2016,2,402.242736816406,0.421105683614046,0,39,0
"338",-50.75,-29.75,2016,2,401.814300537109,0.417683206285749,0,35,0
"339",-50.75,-29.5,2016,2,401.919525146484,0.445302069187164,0,6,0
"340",-50.75,-16.25,2015,2,394.743347167969,0.551751659675078,0,11,0
"341",-50.75,-16.25,2016,2,403.416168212891,0.484818994998932,NA,1,NA
